source,team,name,steamid64,kills,deaths,assists,adr,head_shot_kills,source_rating,enemy5ks,enemy4ks,enemy3ks,enemy2ks,mvps
screenshot,pm-a,stepancar,,20,17,7,93.1,9,1.45,0,0,1,3,3
screenshot,pm-a,pm-a,,18,18,8,91.1,14,1.12,0,0,1,6,4
screenshot,pm-a,ChocoVlad,,20,16,8,80.9,7,1.07,0,0,2,3,3
screenshot,pm-a,BabyAceX,,15,18,3,61.8,7,0.86,0,0,0,3,1
screenshot,pm-a,HarukiOne,,11,21,5,52.3,7,0.84,0,0,0,4,0
screenshot,M0ngoleminem,M0ngoleminem,,24,15,7,113.6,14,1.37,0,0,2,3,5
screenshot,M0ngoleminem,GGuf,,21,18,7,95.9,12,1.33,0,0,1,6,4
screenshot,M0ngoleminem,aprilbluse1,,19,15,6,74.7,3,1.17,0,0,2,2,2
screenshot,M0ngoleminem,5continent,,11,19,6,60.5,4,0.93,0,0,0,3,0
screenshot,M0ngoleminem,kubik228,,13,17,7,56.5,3,0.87,0,0,0,2,2
